,train,val,test
0,train,val,test
1,lr_init:0.07,lr_init:0.07,lr_init:0.07
2,lr_base:1.1,lr_base:1.1,lr_base:1.1
3,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
4,1000,1000,1000
5,0,0,0
6,0.4784,0.4746,0.4766
7,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
8,1000,1000,1000
9,0,0,0
10,0.5,0.5,0.5
11,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
12,1000,1000,1000
13,0,0,0
14,0.5,0.5,0.5
15,lr_base:2.1,lr_base:2.1,lr_base:2.1
16,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
17,1000,1000,1000
18,0,0,0
19,0.4719,0.4746,0.4764
20,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
21,1000,1000,1000
22,0,0,0
23,0.5,0.5,0.5
24,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
25,1000,1000,1000
26,0,0,0
27,0.5,0.5,0.5
28,lr_base:3.1,lr_base:3.1,lr_base:3.1
29,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
30,1000,1000,1000
31,0,0,0
32,0.5,0.5,0.5
33,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
34,1000,1000,1000
35,0,0,0
36,0.5,0.5,0.5
37,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
38,1000,1000,1000
39,0,0,0
40,0.4819,0.4746,0.4835
41,lr_base:4.1,lr_base:4.1,lr_base:4.1
42,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
43,1000,1000,1000
44,0,0,0
45,0.4753,0.4746,0.4762
46,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
47,1000,1000,1000
48,0,0,0
49,0.5,0.5,0.5
50,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
51,1000,1000,1000
52,0,0,0
53,0.5,0.5,0.5
54,lr_init:0.007,lr_init:0.007,lr_init:0.007
55,lr_base:1.1,lr_base:1.1,lr_base:1.1
56,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
57,1000,1000,1000
58,0,0,0
59,0.5322,0.5198,0.5445
60,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
61,1000,1000,1000
62,0,0,0
63,0.6143,0.5541,0.5693
64,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
65,1000,1000,1000
66,0,0,0
67,0.429,0.4806,0.5559
68,lr_base:2.1,lr_base:2.1,lr_base:2.1
69,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
70,1000,1000,1000
71,0,0,0
72,0.4495,0.4667,0.5549
73,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
74,1000,1000,1000
75,0,0,0
76,0.556,0.5522,0.488
77,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
78,1000,1000,1000
79,0,0,0
80,0.4762,0.4758,0.5492
81,lr_base:3.1,lr_base:3.1,lr_base:3.1
82,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
83,1000,1000,1000
84,0,0,0
85,0.4673,0.4824,0.5079
86,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
87,1000,1000,1000
88,0,0,0
89,0.5131,0.5023,0.5266
90,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
91,1000,1000,1000
92,0,0,0
93,0.4723,0.497,0.5653
94,lr_base:4.1,lr_base:4.1,lr_base:4.1
95,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
96,1000,1000,1000
97,0,0,0
98,0.5835,0.5664,0.4565
99,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
100,1000,1000,1000
101,0,0,0
102,0.5723,0.6089,0.5071
103,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
104,1000,1000,1000
105,0,0,0
106,0.5586,0.5456,0.4312
107,lr_init:0.0007,lr_init:0.0007,lr_init:0.0007
108,lr_base:1.1,lr_base:1.1,lr_base:1.1
109,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
110,1000,1000,1000
111,0,0,0
112,0.5893,0.5444,0.5146
113,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
114,1000,1000,1000
115,0,0,0
116,0.6444,0.6564,0.6485
117,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
118,1000,1000,1000
119,0,0,0
120,0.439,0.4362,0.5315
121,lr_base:2.1,lr_base:2.1,lr_base:2.1
122,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
123,1000,1000,1000
124,0,0,0
125,0.5863,0.5408,0.5008
126,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
127,1000,1000,1000
128,0,0,0
129,0.5102,0.478,0.6187
130,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
131,1000,1000,1000
132,0,0,0
133,0.5597,0.5636,0.4715
134,lr_base:3.1,lr_base:3.1,lr_base:3.1
135,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
136,1000,1000,1000
137,0,0,0
138,0.5445,0.5543,0.5262
139,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
140,1000,1000,1000
141,0,0,0
142,0.4303,0.41,0.3292
143,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
144,1000,1000,1000
145,0,0,0
146,0.5606,0.5571,0.4961
147,lr_base:4.1,lr_base:4.1,lr_base:4.1
148,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
149,1000,1000,1000
150,0,0,0
151,0.5995,0.5488,0.4917
152,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
153,1000,1000,1000
154,0,0,0
155,0.4999,0.4695,0.5795
